"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","Price.per.gross.sqft","Price.per.land.sqft","outliers"
"3126",1,"GRAMERCY                 ","08  RENTALS - ELEVATOR APARTMENTS           ","2B",875,74,NA,"D9","12 GRAMERCY PARK                         ","            ",10003,7,0,7," 2,907 "," 10,300 ",1920,2,"D9"," 4,150,000 ","4/27/2016",4150000,10300,2907,402.912621359223,1427.58857929137,0
"3127",1,"GRAMERCY                 ","08  RENTALS - ELEVATOR APARTMENTS           ","2B",876,11,NA,"D9","2 GRAMERCY PARK WEST                     ","            ",10003,7,0,7," 2,888 "," 11,928 ",1920,2,"D9"," 2,225,000 ","3/4/2016",2225000,11928,2888,186.535881958417,770.429362880886,0
"3128",1,"GRAMERCY                 ","08  RENTALS - ELEVATOR APARTMENTS           ","2",877,53,NA,"D9","152 EAST 22ND   STREET                   ","            ",10010,43,2,45," 5,695 "," 24,486 ",1930,2,"D9"," 33,483,125 ","10/2/2015",33483125,24486,5695,1367.43955729805,5879.38981562774,0
"3130",1,"GRAMERCY                 ","08  RENTALS - ELEVATOR APARTMENTS           ","2",879,54,NA,"D1","144-146 EAST 24TH STREET                 ","            ",10010,33,1,34," 5,135 "," 38,267 ",1930,2,"D1"," 29,280,000 ","12/7/2015",29280000,38267,5135,765.150129354274,5702.04479065239,0
"3131",1,"GRAMERCY                 ","08  RENTALS - ELEVATOR APARTMENTS           ","2",902,49,NA,"D9","220 EAST 22ND   STREET                   ","            ",10010,122,1,123," 14,558 "," 77,275 ",1930,2,"D9"," 73,800,000 ","9/24/2015",73800000,77275,14558,955.030734390165,5069.37766176673,0
"3132",1,"GRAMERCY                 ","08  RENTALS - ELEVATOR APARTMENTS           ","2",902,51,NA,"D9","210 EAST 22ND   STREET                   ","            ",10010,88,0,88," 9,228 "," 49,207 ",1982,2,"D9"," 49,200,000 ","9/24/2015",49200000,49207,9228,999.857743816937,5331.59947984395,0
"3568",1,"GRAMERCY                 ","14  RENTALS - 4-10 UNIT                     ","2B",881,61,NA,"S9","77 LEXINGTON AVE                         ","            ",10010,5,2,7," 1,531 "," 6,124 ",1910,2,"S9"," 7,400,000 ","12/1/2015",7400000,6124,1531,1208.36054866101,4833.44219464402,0
"3569",1,"GRAMERCY                 ","14  RENTALS - 4-10 UNIT                     ","2A",903,33,NA,"S3","393 2 AVENUE                             ","            ",10010,3,1,4," 1,570 "," 4,810 ",1910,2,"S3"," 6,500,000 ","10/30/2015",6500000,4810,1570,1351.35135135135,4140.12738853503,0
"3620",1,"GREENWICH VILLAGE-CENTRAL","07  RENTALS - WALKUP APARTMENTS             ","2B",530,55,NA,"C5","26 BOND STREET                           ","            ",10012,6,1,7," 2,675 "," 7,363 ",1915,2,"C5"," 10,800,000 ","3/21/2016",10800000,7363,2675,1466.79342659242,4037.38317757009,0
"3621",1,"GREENWICH VILLAGE-CENTRAL","07  RENTALS - WALKUP APARTMENTS             ","2",556,15,NA,"C4","85 EAST 10TH STREET                      ","            ",10003,107,0,107," 10,344 "," 61,612 ",1900,2,"C4"," 75,400,000 ","4/21/2016",75400000,61612,10344,1223.78757384925,7289.2498066512,0
"3622",1,"GREENWICH VILLAGE-CENTRAL","07  RENTALS - WALKUP APARTMENTS             ","2",556,16,NA,"C4","112-120 EAST 11TH STREET                 ","            ",10003,89,0,89," 13,354 "," 41,770 ",1900,2,"C4"," 52,100,000 ","4/21/2016",52100000,41770,13354,1247.306679435,3901.45274824023,0
