"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","Price.per.gross.sqft","Price.per.land.sqft","outliers"
"3111",1,"GRAMERCY                 ","02  TWO FAMILY DWELLINGS                    ","1",900,155,NA,"B9","202 EAST 20TH   STREET                   ","            ",10003,2,0,2," 353 "," 1,140 ",1901,1,"B9"," 2,225,000 ","7/28/2016",2225000,1140,353,1951.75438596491,6303.11614730878,0
"3112",1,"GRAMERCY                 ","02  TWO FAMILY DWELLINGS                    ","1",901,29,NA,"S2","351 SECOND AVENUE                        ","            ",10010,2,1,3," 1,580 "," 3,600 ",1910,1,"S2"," 6,250,000 ","10/15/2015",6250000,3600,1580,1736.11111111111,3955.69620253165,0
"3608",1,"GREENWICH VILLAGE-CENTRAL","01  ONE FAMILY DWELLINGS                    ","1",552,16,NA,"A4","74 WEST WASHINGTON PLCE                  ","            ",10011,1,0,1," 2,150 "," 7,546 ",1900,1,"A4"," 21,650,000 ","6/21/2016",21650000,7546,2150,2869.0697058044,10069.7674418605,0
"3610",1,"GREENWICH VILLAGE-CENTRAL","01  ONE FAMILY DWELLINGS                    ","1",567,14,NA,"A7","16 EAST 10TH STREET                      ","            ",10003,1,0,1," 2,307 "," 6,900 ",1910,1,"A7"," 32,000,000 ","9/11/2015",3.2e+07,6900,2307,4637.68115942029,13870.8279150412,0
"3611",1,"GREENWICH VILLAGE-CENTRAL","01  ONE FAMILY DWELLINGS                    ","1",573,37,NA,"A4","10 WEST 10TH STREET                      ","            ",10011,1,0,1," 2,399 "," 8,472 ",1900,1,"A4"," 20,000,000 ","9/30/2015",2e+07,8472,2399,2360.71765816808,8336.80700291788,0
"3612",1,"GREENWICH VILLAGE-CENTRAL","01  ONE FAMILY DWELLINGS                    ","1",574,32,NA,"A5","24 WEST 11TH   STREET                    ","            ",10011,1,0,1," 2,018 "," 4,278 ",1920,1,"A5"," 19,250,000 ","11/2/2015",19250000,4278,2018,4499.7662459093,9539.14767096135,0
"4253",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY DWELLINGS                    ","1",584,28,NA,"A4","36 COMMERCE STREET                       ","            ",10014,1,0,1," 1,586 "," 6,804 ",1841,1,"A4"," 7,400,000 ","6/2/2016",7400000,6804,1586,1087.59553203998,4665.82597730139,0
"4257",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY DWELLINGS                    ","1",587,54,NA,"A4","41 BARROW                                ","            ",10014,1,0,1," 840 "," 924 ",1899,1,"A4"," 4,900,000 ","7/20/2016",4900000,924,840,5303.0303030303,5833.33333333333,0
"4259",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY DWELLINGS                    ","1",592,60,NA,"A7","146 WAVERLY PLACE                        ","            ",10014,1,0,1," 2,158 "," 6,118 ",1905,1,"A7"," 23,282,932 ","12/29/2015",23282932,6118,2158,3805.64432821183,10789.125115848,0
"4262",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY DWELLINGS                    ","1",608,13,NA,"A5","152 WEST 13TH STREET                     ","            ",10011,1,0,1," 2,065 "," 4,508 ",1899,1,"A5"," 15,000,000 ","4/21/2016",1.5e+07,4508,2065,3327.41792369122,7263.92251815981,0
"4263",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY DWELLINGS                    ","1",609,51,NA,"A4","111 WEST 13 STREET                       ","            ",10011,1,0,1," 2,000 "," 3,280 ",1901,1,"A4"," 7,700,000 ","8/12/2016",7700000,3280,2000,2347.56097560976,3850,0
"4264",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY DWELLINGS                    ","1",612,40,NA,"A4","41 CHARLES STREET                        ","            ",10014,1,0,1," 1,584 "," 3,474 ",1900,1,"A4"," 14,500,000 ","6/30/2016",14500000,3474,1584,4173.86298215314,9154.0404040404,0
"4266",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY DWELLINGS                    ","1",615,85,NA,"A4","243 WEST 12TH STREET                     ","            ",10014,1,0,1," 1,364 "," 3,720 ",1899,1,"A4"," 8,500,000 ","2/29/2016",8500000,3720,1364,2284.94623655914,6231.6715542522,0
"4267",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY DWELLINGS                    ","1",616,5,NA,"S1","48 8 AVENUE                              ","            ",10014,1,1,2," 668 "," 1,887 ",1910,1,"S1"," 5,150,000 ","11/13/2015",5150000,1887,668,2729.19978802332,7709.58083832335,0
"4269",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY DWELLINGS                    ","1",622,38,NA,"A4","278 WEST 11 STREET                       ","            ",10014,1,0,1," 2,391 "," 4,890 ",1905,1,"A4"," 27,500,000 ","7/19/2016",27500000,4890,2391,5623.72188139059,11501.4638226683,0
"4272",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY DWELLINGS                    ","1",636,45,NA,"A9","400 WEST STREET                          ","            ",10014,1,0,1," 1,935 "," 7,705 ",1950,1,"A9"," 14,500,000 ","2/8/2016",14500000,7705,1935,1881.89487345879,7493.54005167959,0
"4273",1,"GREENWICH VILLAGE-WEST   ","01  ONE FAMILY DWELLINGS                    ","1",637,17,NA,"S1","164 PERRY STREET                         ","            ",10014,1,1,2," 1,440 "," 3,662 ",1901,1,"S1"," 13,000,000 ","11/5/2015",1.3e+07,3662,1440,3549.97269251775,9027.77777777778,0
"4274",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY DWELLINGS                    ","1",584,38,NA,"B3","31 MORTON STREET                         ","            ",10014,2,0,2," 600 "," 1,600 ",1901,1,"B3"," 5,440,000 ","3/16/2016",5440000,1600,600,3400,9066.66666666667,0
"4275",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY DWELLINGS                    ","1",588,2,NA,"B9","58 BARROW STREET                         ","            ",10014,2,0,2," 960 "," 1,350 ",1910,1,"B9"," 4,250,000 ","10/15/2015",4250000,1350,960,3148.14814814815,4427.08333333333,0
"4276",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY DWELLINGS                    ","1",609,43,NA,"S2","517 AVENUE OF THE AMER                   ","            ",10011,2,1,3," 1,191 "," 2,961 ",1910,1,"S2"," 820,000 ","3/17/2016",820000,2961,1191,276.93346842283,688.497061293031,0
"4280",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY DWELLINGS                    ","1",614,34,NA,"B3","231 WEST 11TH STREET                     ","            ",10014,2,0,2," 1,660 "," 3,360 ",1899,1,"B3"," 11,750,000 ","1/15/2016",11750000,3360,1660,3497.02380952381,7078.31325301205,0
"4281",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY DWELLINGS                    ","1",615,7,NA,"S2","313 WEST 4TH   STREET                    ","            ",10014,2,1,3," 1,503 "," 3,020 ",1915,1,"S2"," 7,650,000 ","12/8/2015",7650000,3020,1503,2533.11258278146,5089.82035928144,0
"4282",1,"GREENWICH VILLAGE-WEST   ","02  TWO FAMILY DWELLINGS                    ","1",626,7,NA,"B3","64 HORATIO STREET                        ","            ",10014,2,0,2," 933 "," 2,160 ",1899,1,"B3"," 6,668,000 ","2/1/2016",6668000,2160,933,3087.03703703704,7146.83815648446,0
"4283",1,"GREENWICH VILLAGE-WEST   ","03  THREE FAMILY DWELLINGS                  ","1",612,53,NA,"C0","8 PERRY STREET                           ","            ",10014,3,0,3," 2,097 "," 3,800 ",1899,1,"C0"," 6,850,000 ","4/13/2016",6850000,3800,2097,1802.63157894737,3266.57129232237,0
"4284",1,"GREENWICH VILLAGE-WEST   ","03  THREE FAMILY DWELLINGS                  ","1",613,30,NA,"C0","21 PERRY STREET                          ","            ",10014,3,0,3," 1,227 "," 3,274 ",1899,1,"C0"," 13,850,000 ","7/27/2016",13850000,3274,1227,4230.2993280391,11287.6935615322,0
"4285",1,"GREENWICH VILLAGE-WEST   ","03  THREE FAMILY DWELLINGS                  ","1",615,58,NA,"C0","327 WEST 4TH STREET                      ","            ",10014,3,0,3," 1,210 "," 3,098 ",1899,1,"C0"," 6,225,000 ","1/27/2016",6225000,3098,1210,2009.3608779858,5144.62809917355,0
"4988",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",1754,8,NA,"A4","11 EAST 129 STREET                       ","            ",10035,1,0,1," 1,081 "," 2,800 ",1905,1,"A4"," 703,667 ","10/6/2015",703667,2800,1081,251.309642857143,650.940795559667,0
"4992",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",1908,133,NA,"S1","273 LENOX AVENUE                         ","            ",10027,1,1,2," 1,275 "," 3,825 ",1909,1,"S1"," 3,000,000 ","2/10/2016",3e+06,3825,1275,784.313725490196,2352.94117647059,0
"4993",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",1914,46,NA,"A5","130 WEST 130TH STREET                    ","            ",10027,1,0,1," 1,749 "," 2,624 ",1910,1,"A5"," 2,600,000 ","9/29/2015",2600000,2624,1749,990.853658536585,1486.56375071469,0
"4994",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",1914,48,NA,"A9","136 WEST 130TH STREET                    ","            ",10027,1,0,1," 1,998 "," 4,144 ",1910,1,"A9"," 3,300,000 ","2/29/2016",3300000,4144,1998,796.332046332046,1651.65165165165,0
"4995",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",1943,50,NA,"A9","401 MANHATTAN AVENUE                     ","            ",10026,1,0,1," 900 "," 2,160 ",1899,1,"A9"," 2,345,000 ","3/17/2016",2345000,2160,900,1085.64814814815,2605.55555555556,0
"4997",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",1960,53,NA,"A9","304 WEST 137 STREET                      ","            ",10030,1,0,1," 1,499 "," 3,300 ",1910,1,"A9"," 277,807 ","12/21/2015",277807,3300,1499,84.1839393939394,185.328218812542,0
"4998",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",2023,21,NA,"A9","221 WEST 137 STREET                      ","            ",10030,1,0,1," 1,799 "," 4,080 ",1910,1,"A9"," 1,755,000 ","8/15/2016",1755000,4080,1799,430.147058823529,975.541967759867,0
"5000",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",2024,28,NA,"A9","203 WEST 138 STREET                      ","            ",10030,1,0,1," 1,782 "," 2,861 ",1910,1,"A9"," 1,790,000 ","4/27/2016",1790000,2861,1782,625.655365256903,1004.48933782267,0
"5001",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",2024,115,NA,"A5","237 WEST 138TH STREET                    ","            ",10030,1,0,1," 1,699 "," 3,162 ",1932,1,"A5"," 2,125,000 ","10/2/2015",2125000,3162,1699,672.043010752688,1250.73572689818,0
"5002",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",2025,12,NA,"A9","243 WEST 139 STREET                      ","            ",10030,1,0,1," 1,815 "," 2,754 ",1920,1,"A9"," 2,110,000 ","4/8/2016",2110000,2754,1815,766.158315177923,1162.53443526171,0
"5004",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",2025,26,NA,"A5","209 WEST 139 STREET                      ","            ",10030,1,0,1," 1,915 "," 3,952 ",1920,1,"A5"," 2,250,000 ","2/9/2016",2250000,3952,1915,569.331983805668,1174.93472584856,0
"5005",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",2041,126,NA,"A9","314 WEST 138 STREET                      ","            ",10030,1,0,1," 1,699 "," 3,536 ",1901,1,"A9"," 1,500,000 ","11/6/2015",1500000,3536,1699,424.20814479638,882.872277810477,0
"5006",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",2042,25,NA,"A9","320 WEST 140 STREET                      ","            ",10030,1,0,1," 1,499 "," 3,000 ",1899,1,"A9"," 2,125,000 ","9/16/2015",2125000,3000,1499,708.333333333333,1417.61174116077,0
"5007",1,"HARLEM-CENTRAL           ","01  ONE FAMILY DWELLINGS                    ","1",2050,96,NA,"A4","9 HAMILTON TERRACE                       ","            ",10031,1,0,1," 1,136 "," 2,322 ",1899,1,"A4"," 1,925,000 ","2/12/2016",1925000,2322,1136,829.026701119724,1694.54225352113,0
"5012",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1729,117,NA,"B9","39 WEST 131 STREET                       ","            ",10037,2,0,2," 1,249 "," 2,247 ",1910,1,"B9"," 1,865,000 ","3/11/2016",1865000,2247,1249,829.995549621718,1493.19455564452,0
"5013",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1753,115,NA,"B1","2022 MADISON AVENUE                      ","            ",10035,2,0,2," 1,260 "," 2,880 ",2014,1,"B1"," 2,010,000 ","6/15/2016",2010000,2880,1260,697.916666666667,1595.2380952381,0
"5015",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1754,116,NA,"B1","2040 MADISON AVENUE                      ","            ",10035,2,0,2," 1,231 "," 3,240 ",1899,1,"B1"," 1,525,000 ","9/4/2015",1525000,3240,1231,470.679012345679,1238.83021933387,0
"5016",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1827,46,NA,"B1","230 WEST 112 STREET                      ","            ",10026,2,0,2," 1,716 "," 2,907 ",1909,1,"B1"," 3,300,000 ","3/23/2016",3300000,2907,1716,1135.19091847265,1923.07692307692,0
"5017",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1903,20,NA,"B2","121 WEST 118 STREET                      ","            ",10026,2,0,2," 2,018 "," 6,200 ",1920,1,"B2"," 3,600,000 ","3/30/2016",3600000,6200,2018,580.645161290323,1783.94449950446,0
"5020",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1912,156,NA,"B1","160 WEST 128 STREET                      ","            ",10027,2,0,2," 1,665 "," 3,727 ",1910,1,"B1"," 2,200,000 ","9/1/2015",2200000,3727,1665,590.287094177623,1321.32132132132,0
"5021",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1916,50,NA,"B1","142 W 132 ST                             ","            ",10027,2,0,2," 1,599 "," 3,773 ",2014,1,"B1"," 2,650,000 ","7/27/2016",2650000,3773,1599,702.358865624172,1657.28580362727,0
"5022",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1919,64,NA,"B9","2289 ADAM C POWELL BLVD                  ","            ",10030,2,0,2," 956 "," 2,450 ",1910,1,"B9"," 612,500 ","5/12/2016",612500,2450,956,250,640.690376569038,0
"5023",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1919,64,NA,"B9","2289 ADAM C POWELL BLVD                  ","            ",10030,2,0,2," 956 "," 2,450 ",1910,1,"B9"," 637,500 ","5/12/2016",637500,2450,956,260.204081632653,666.8410041841,0
"5024",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1921,16,NA,"B1","139 WEST 136 STREET                      ","            ",10030,2,0,2," 1,549 "," 3,274 ",1910,1,"B1"," 2,450,000 ","5/6/2016",2450000,3274,1549,748.320097739768,1581.66559070368,0
"5025",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1921,118,NA,"B9","131 W 136TH STREET                       ","            ",10030,2,0,2," 1,549 "," 2,578 ",1910,1,"B9"," 2,450,000 ","7/11/2016",2450000,2578,1549,950.349107835531,1581.66559070368,0
"5026",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1921,122,NA,"B1","119 WEST 136TH STREET                    ","            ",10030,2,0,2," 1,599 "," 3,796 ",2014,1,"B1"," 2,454,900 ","11/12/2015",2454900,3796,1599,646.707060063225,1535.27204502814,0
"5027",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1927,13,NA,"B9","247 WEST 121 STREET                      ","            ",10027,2,0,2," 1,817 "," 3,520 ",1910,1,"B9"," 3,000,000 ","4/1/2016",3e+06,3520,1817,852.272727272727,1651.07319757843,0
"5028",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1937,154,NA,"B9","260 WEST 132 STREET                      ","            ",10027,2,0,2," 1,699 "," 3,436 ",1910,1,"B9"," 2,750,000 ","2/29/2016",2750000,3436,1699,800.34924330617,1618.59917598587,0
"5029",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1942,25,NA,"B1","209 WEST 136 STREET                      ","            ",10030,2,0,2," 1,699 "," 3,936 ",1899,1,"B1"," 2,000,000 ","7/7/2016",2e+06,3936,1699,508.130081300813,1177.16303708064,0
"5030",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1942,39,NA,"S2","206 WEST 137 STREET                      ","            ",10030,2,1,3," 1,799 "," 4,150 ",1910,1,"S2"," 2,575,000 ","1/21/2016",2575000,4150,1799,620.481927710843,1431.3507504169,0
"5031",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1942,52,NA,"B9","242 WEST 137TH STREET                    ","            ",10030,2,0,2," 1,799 "," 3,213 ",1910,1,"B9"," 2,450,000 ","2/25/2016",2450000,3213,1799,762.527233115468,1361.86770428016,0
"5032",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1942,142,NA,"B3","216 WEST 137 STREET                      ","            ",10030,2,0,2," 1,699 "," 3,914 ",1899,1,"B3"," 1,800,000 ","11/30/2015",1800000,3914,1699,459.887583035258,1059.44673337257,0
"5034",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1949,159,NA,"S2","360 WEST 123 STREET                      ","            ",10027,2,1,3," 1,615 "," 2,975 ",1910,1,"S2"," 1,410,000 ","5/10/2016",1410000,2975,1615,473.949579831933,873.065015479876,0
"5035",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",1960,34,NA,"B9","321 WEST 136 STREET                      ","            ",10030,2,0,2," 2,548 "," 1,553 ",1905,1,"B9"," 2,200,000 ","11/23/2015",2200000,1553,2548,1416.61300708306,863.422291993721,0
"5036",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",2024,3,NA,"B2","269 WEST 138 STREET                      ","            ",10030,2,0,2," 1,699 "," 2,913 ",1910,1,"B2"," 1,800,000 ","5/13/2016",1800000,2913,1699,617.919670442842,1059.44673337257,0
"5037",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",2024,3,NA,"B2","269 WEST 138 STREET                      ","            ",10030,2,0,2," 1,699 "," 2,913 ",1910,1,"B2"," 1,500,000 ","5/13/2016",1500000,2913,1699,514.933058702369,882.872277810477,0
"5040",1,"HARLEM-CENTRAL           ","02  TWO FAMILY DWELLINGS                    ","1",2050,208,NA,"B9","43 HAMILTON TERRACE                      ","            ",10031,2,0,2," 1,870 "," 4,216 ",1899,1,"B9"," 2,600,000 ","12/21/2015",2600000,4216,1870,616.698292220114,1390.3743315508,0
"5042",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",1717,50,NA,"C0","32 WEST 119 STREET                       ","            ",10026,3,0,3," 1,766 "," 3,536 ",1899,1,"C0"," 2,100,000 ","12/22/2015",2100000,3536,1766,593.891402714932,1189.12797281993,0
"5043",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",1718,11,NA,"C0","75 WEST 119TH STREET                     ","            ",10026,3,0,3," 1,817 "," 3,288 ",1909,1,"C0"," 2,675,000 ","2/8/2016",2675000,3288,1817,813.564476885645,1472.20693450743,0
"5044",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",1720,101,NA,"C0","202 LENOX AVENUE                         ","            ",10027,3,0,3," 1,600 "," 3,548 ",1909,1,"C0"," 3,780,000 ","2/25/2016",3780000,3548,1600,1065.38895152198,2362.5,0
"5048",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",1753,58,NA,"C0","30 EAST 129TH STREET                     ","            ",10035,3,0,3," 2,498 "," 6,390 ",2003,1,"C0"," 3,050,000 ","8/31/2016",3050000,6390,2498,477.308294209703,1220.97678142514,0
"5049",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",1907,28,NA,"C0","103 WEST 122ND STREET                    ","            ",10027,3,0,3," 1,917 "," 3,168 ",1910,1,"C0"," 3,250,000 ","11/6/2015",3250000,3168,1917,1025.88383838384,1695.35732916015,0
"5051",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",1916,43,NA,"C0","120 WEST 132ND STREET                    ","            ",10027,3,0,3," 1,499 "," 2,250 ",1920,1,"C0"," 1,657,500 ","7/6/2016",1657500,2250,1499,736.666666666667,1105.7371581054,0
"5052",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",1917,57,NA,"C0","164 WEST 133RD STREET                    ","            ",10030,3,0,3," 1,590 "," 2,403 ",1910,1,"C0"," 1,955,000 ","4/8/2016",1955000,2403,1590,813.566375364128,1229.55974842767,0
"5055",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",1938,17,NA,"C0","241 WEST 132 STREET                      ","            ",10027,3,0,3," 1,599 "," 4,480 ",1910,1,"C0"," 1,875,000 ","9/2/2015",1875000,4480,1599,418.526785714286,1172.60787992495,0
"5056",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",1942,59,NA,"C0","292 WEST 137 STREET                      ","            ",10030,3,0,3," 1,549 "," 3,740 ",1899,1,"C0"," 2,225,000 ","8/19/2016",2225000,3740,1549,594.919786096257,1436.41058747579,0
"5057",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",1950,107,NA,"C0","355 WEST 123 STREET                      ","            ",10027,3,0,3," 1,598 "," 3,120 ",1901,1,"C0"," 875,000 ","1/15/2016",875000,3120,1598,280.448717948718,547.55944931164,0
"5058",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",2024,9,NA,"C0","253 WEST 138 STREET                      ","            ",10030,3,0,3," 1,998 "," 4,480 ",1899,1,"C0"," 3,100,000 ","4/29/2016",3100000,4480,1998,691.964285714286,1551.55155155155,0
"5059",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",2050,93,NA,"C0","423 WEST 141 STREET                      ","            ",10031,3,0,3," 1,180 "," 3,440 ",1899,1,"C0"," 3,000,000 ","6/16/2016",3e+06,3440,1180,872.093023255814,2542.37288135593,0
"5061",1,"HARLEM-CENTRAL           ","03  THREE FAMILY DWELLINGS                  ","1",2051,110,NA,"C0","200 EDGECOMBE AVENUE                     ","            ",10030,3,0,3," 1,881 "," 1,170 ",1899,1,"C0"," 1,750,000 ","4/1/2016",1750000,1170,1881,1495.7264957265,930.356193514088,0
"5801",1,"HARLEM-EAST              ","02  TWO FAMILY DWELLINGS                    ","1",1795,32,NA,"B9","352 EAST 119 STREET                      ","            ",10035,2,0,2," 1,530 "," 1,820 ",1901,1,"B9"," 850,000 ","5/4/2016",850000,1820,1530,467.032967032967,555.555555555556,0
"5802",1,"HARLEM-EAST              ","03  THREE FAMILY DWELLINGS                  ","1",1623,108,NA,"C0","11 EAST 117TH STREET                     ","            ",10035,3,0,3," 2,017 "," 3,600 ",2000,1,"C0"," 2,000,000 ","8/10/2016",2e+06,3600,2017,555.555555555556,991.571641051066,0
"5805",1,"HARLEM-EAST              ","03  THREE FAMILY DWELLINGS                  ","1",1660,110,NA,"C0","223 EAST 110 STREET                      ","            ",10029,3,0,3," 2,212 "," 2,898 ",1996,1,"C0"," 2,050,000 ","1/19/2016",2050000,2898,2212,707.384403036577,926.763110307414,0
"5806",1,"HARLEM-EAST              ","03  THREE FAMILY DWELLINGS                  ","1",1660,111,NA,"C0","225 EAST 110TH STREET                    ","            ",10029,3,0,3," 2,212 "," 2,898 ",1996,1,"C0"," 2,200,000 ","12/24/2015",2200000,2898,2212,759.144237405107,994.575045207957,0
"5807",1,"HARLEM-EAST              ","03  THREE FAMILY DWELLINGS                  ","1",1665,42,NA,"C0","220 EAST 116TH STREET                    ","            ",10029,3,0,3," 1,892 "," 2,484 ",1900,1,"C0"," 600,000 ","5/4/2016",6e+05,2484,1892,241.545893719807,317.124735729387,0
"5808",1,"HARLEM-EAST              ","03  THREE FAMILY DWELLINGS                  ","1",1665,108,NA,"C0","215 EAST 115 STREET                      ","            ",10029,3,0,3," 1,817 "," 2,430 ",1890,1,"C0"," 975,000 ","10/28/2015",975000,2430,1817,401.234567901235,536.598789212988,0
"5814",1,"HARLEM-EAST              ","03  THREE FAMILY DWELLINGS                  ","1",1807,11,NA,"C0","417 E 119TH STREET                       ","            ",10035,3,0,3," 2,523 "," 5,000 ",1900,1,"C0"," 3,585,000 ","12/1/2015",3585000,5000,2523,717,1420.92746730083,0
"6053",1,"HARLEM-UPPER             ","01  ONE FAMILY DWELLINGS                    ","1",2058,6,NA,"A9","465 WEST 141 STREET                      ","            ",10031,1,0,1," 1,799 "," 6,264 ",1920,1,"A9"," 2,900,000 ","2/29/2016",2900000,6264,1799,462.962962962963,1612.00667037243,0
"6054",1,"HARLEM-UPPER             ","01  ONE FAMILY DWELLINGS                    ","1",2058,19,NA,"S1","452 WEST 142 STREET                      ","            ",10031,1,1,2," 1,799 "," 5,668 ",1901,1,"S1"," 3,075,000 ","11/19/2015",3075000,5668,1799,542.519407198306,1709.28293496387,0
"6055",1,"HARLEM-UPPER             ","01  ONE FAMILY DWELLINGS                    ","1",2059,22,NA,"A4","458 WEST 144 STREET                      ","            ",10031,1,0,1," 1,699 "," 2,915 ",1899,1,"A4"," 2,100,000 ","1/15/2016",2100000,2915,1699,720.41166380789,1236.02118893467,0
"6056",1,"HARLEM-UPPER             ","01  ONE FAMILY DWELLINGS                    ","1",2061,47,NA,"A9","430 WEST 147 STREET                      ","            ",10031,1,0,1," 2,298 "," 4,530 ",1920,1,"A9"," 3,500,000 ","9/16/2015",3500000,4530,2298,772.626931567329,1523.0635335074,0
"6060",1,"HARLEM-UPPER             ","01  ONE FAMILY DWELLINGS                    ","1",2092,123,NA,"A9","613 WEST 145TH ST                        ","            ",10031,1,0,1," 1,482 "," 2,944 ",1910,1,"A9"," 1,750,000 ","12/23/2015",1750000,2944,1482,594.429347826087,1180.8367071525,0
"6061",1,"HARLEM-UPPER             ","01  ONE FAMILY DWELLINGS                    ","1",2094,125,NA,"A9","611 WEST 147 STREET                      ","            ",10031,1,0,1," 1,249 "," 3,440 ",1901,1,"A9"," 2,350,000 ","4/28/2016",2350000,3440,1249,683.139534883721,1881.50520416333,0
"6063",1,"HARLEM-UPPER             ","02  TWO FAMILY DWELLINGS                    ","1",2059,158,NA,"B1","472 WEST 145 STREET                      ","            ",10031,2,0,2," 1,599 "," 4,416 ",1920,1,"B1"," 1,850,000 ","7/26/2016",1850000,4416,1599,418.93115942029,1156.97310819262,0
"6064",1,"HARLEM-UPPER             ","02  TWO FAMILY DWELLINGS                    ","1",2061,7,NA,"B1","473 WEST 146TH STREET                    ","            ",10031,2,0,2," 1,664 "," 3,000 ",2014,1,"B1"," 2,455,000 ","8/11/2016",2455000,3000,1664,818.333333333333,1475.36057692308,0
