"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","Price.per.gross.sqft","Price.per.land.sqft","outliers"
"15453",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY DWELLINGS                    ","1",1396,10,NA,"B9","123 EAST 61ST   STREET                   ","            ",10065,2,0,2," 1,908 "," 6,850 ",1900,1,"B9"," 12,000,000 ","2/25/2016",1.2e+07,6850,1908,1751.82481751825,6289.30817610063,0
"15454",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY DWELLINGS                    ","1",1397,10,NA,"B1","127 EAST 62ND STREET                     ","            ",10065,2,0,2," 1,168 "," 4,520 ",1899,1,"B1"," 7,238,000 ","10/7/2015",7238000,4520,1168,1601.32743362832,6196.91780821918,0
"15456",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY DWELLINGS                    ","1",1397,30,NA,"B1","165 EAST 62ND STREET                     ","            ",10065,2,0,2," 1,584 "," 3,328 ",1899,1,"B1"," 7,300,000 ","9/9/2015",7300000,3328,1584,2193.50961538462,4608.58585858586,0
"15457",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY DWELLINGS                    ","1",1399,49,NA,"B1","134 EAST 65TH   STREET                   ","            ",10065,2,0,2," 2,008 "," 4,000 ",1899,1,"B1"," 9,250,000 ","2/9/2016",9250000,4000,2008,2312.5,4606.57370517928,0
"15458",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY DWELLINGS                    ","1",1399,65,NA,"B3","116 EAST 65TH   STREET                   ","            ",10065,2,0,2," 2,008 "," 6,901 ",1910,1,"B3"," 15,075,000 ","4/14/2016",15075000,6901,2008,2184.46601941748,7507.47011952191,0
"15459",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY DWELLINGS                    ","1",1405,30,NA,"B1","171 E.70TH STREET                        ","            ",10021,2,0,2," 1,674 "," 4,140 ",1920,1,"B1"," 10,500,000 ","2/3/2016",10500000,4140,1674,2536.23188405797,6272.40143369176,0
"15460",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY DWELLINGS                    ","1",1406,127,NA,"B3","167 EAST 71ST STREET                     ","            ",10021,2,0,2," 1,703 "," 3,841 ",1910,1,"B3"," 10,100,000 ","9/17/2015",10100000,3841,1703,2629.52356157251,5930.71051086318,0
"15461",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY DWELLINGS                    ","1",1407,44,NA,"B1","174 EAST 73RD   STREET                   ","            ",10021,2,0,2," 2,554 "," 5,326 ",1899,1,"B1"," 12,900,000 ","11/9/2015",12900000,5326,2554,2422.08036049568,5050.90054815975,0
"15464",1,"UPPER EAST SIDE (59-79)  ","02  TWO FAMILY DWELLINGS                    ","1",1433,114,NA,"B1","239 EAST 78TH STREET                     ","            ",10075,2,0,2," 1,413 "," 2,600 ",1899,1,"B1"," 6,075,000 ","8/23/2016",6075000,2600,1413,2336.53846153846,4299.36305732484,0
"17471",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1491,14,NA,"S1","27 EAST 79TH   STREET                    ","            ",10075,1,1,2," 2,452 "," 5,760 ",1920,1,"S1"," 28,000,000 ","4/4/2016",2.8e+07,5760,2452,4861.11111111111,11419.2495921697,0
"17472",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1492,44,NA,"A4","46 EAST 81ST   STREET                    ","            ",10028,1,0,1," 2,043 "," 5,400 ",1901,1,"A4"," 16,000,000 ","1/21/2016",1.6e+07,5400,2043,2962.96296296296,7831.62016642193,0
"17473",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1495,12,NA,"A4","21 EAST 83RD STREET                      ","            ",10028,1,0,1," 1,839 "," 4,430 ",1925,1,"A4"," 14,386,848 ","3/11/2016",14386848,4430,1839,3247.59548532731,7823.19086460033,0
"17474",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1496,8,NA,"A7","7 EAST 84TH   STREET                     ","            ",10028,1,0,1," 2,554 "," 7,500 ",1920,1,"A7"," 27,000,500 ","2/3/2016",27000500,7500,2554,3600.06666666667,10571.8480814409,0
"17476",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1505,7,NA,"A4","5 EAST 93RD STREET                       ","            ",10128,1,0,1," 2,164 "," 6,254 ",1901,1,"A4"," 10,600,000 ","7/21/2016",10600000,6254,2164,1694.91525423729,4898.33641404806,0
"17477",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1505,27,NA,"A4","61 EAST 93RD   STREET                    ","            ",10128,1,0,1," 1,644 "," 3,684 ",1901,1,"A4"," 6,600,000 ","4/15/2016",6600000,3684,1644,1791.53094462541,4014.59854014599,0
"17478",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1506,162,NA,"A9","14 EAST 95TH   STREET                    ","            ",10128,1,0,1," 1,611 "," 5,739 ",1920,1,"A9"," 13,000,000 ","1/8/2016",1.3e+07,5739,1611,2265.20299703781,8069.52203600248,0
"17479",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1508,26,NA,"S1","167 EAST 79TH STREET                     ","            ",10075,1,1,2," 1,584 "," 3,750 ",1899,1,"S1"," 7,100,000 ","7/13/2016",7100000,3750,1584,1893.33333333333,4482.32323232323,0
"17481",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1517,47,NA,"A9","156 EAST 89TH STREET                     ","            ",10128,1,0,1," 1,258 "," 3,672 ",1899,1,"A9"," 4,300,000 ","4/8/2016",4300000,3672,1258,1171.02396514161,3418.1240063593,0
"17482",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1520,1,NA,"A4","1141 PARK AVENUE                         ","            ",10128,1,1,1," 1,429 "," 5,779 ",1920,1,"A4"," 10,500,000 ","7/19/2016",10500000,5779,1429,1816.92334313895,7347.79566130161,0
"17483",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1521,61,NA,"A9","128 EAST 93RD   STREET                   ","            ",10128,1,0,1," 2,525 "," 4,000 ",1899,1,"A9"," 10,324,000 ","6/20/2016",10324000,4000,2525,2581,4088.71287128713,0
"17484",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1521,111,NA,"A9","123 EAST 92ND   STREET                   ","            ",10128,1,0,1," 1,258 "," 1,992 ",1910,1,"A9"," 4,200,000 ","7/28/2016",4200000,1992,1258,2108.43373493976,3338.63275039746,0
"17488",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1523,165,NA,"A9","122 EAST 95TH   STREET                   ","            ",10128,1,0,1," 2,013 "," 4,160 ",1899,1,"A9"," 8,250,000 ","4/14/2016",8250000,4160,2013,1983.17307692308,4098.36065573771,0
"17489",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1547,20,NA,"A4","347 EAST 84TH STREET                     ","            ",10028,1,0,1," 2,043 "," 3,296 ",1901,1,"A4"," 4,600,000 ","7/7/2016",4600000,3296,2043,1395.63106796116,2251.5907978463,0
"17490",1,"UPPER EAST SIDE (79-96)  ","01  ONE FAMILY DWELLINGS                    ","1",1564,14,NA,"A9","431 EAST 84TH   STREET                   ","            ",10028,1,0,1," 1,601 "," 3,000 ",1899,1,"A9"," 1,355,989 ","1/27/2016",1355989,3000,1601,451.996333333333,846.963772642099,0
"17492",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1492,130,NA,"B1","63 EAST 80TH STREET                      ","            ",10075,2,0,2," 1,601 "," 4,258 ",1899,1,"B1"," 9,250,000 ","5/24/2016",9250000,4258,1601,2172.38139971818,5777.63897564022,0
"17493",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1494,26,NA,"B1","55 EAST 82ND   STREET                    ","            ",10028,2,0,2," 1,635 "," 5,052 ",1899,1,"B1"," 10,000,000 ","2/17/2016",1e+07,5052,1635,1979.41409342835,6116.20795107034,0
"17494",1,"UPPER EAST SIDE (79-96)  ","02  TWO FAMILY DWELLINGS                    ","1",1505,63,NA,"B1","16 EAST 94TH STREET                      ","            ",10128,2,0,2," 1,728 "," 4,166 ",1920,1,"B1"," 8,059,218 ","1/15/2016",8059218,4166,1728,1934.52184349496,4663.89930555556,0
